id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
434435	Spain,Costa Brava on the beach	108394	Olga		Calonge	41.83209	3.0848	Entire home/apt	85	5	51	2020-08-22	0.51	1	156
438243	Beautiful house in Empordà Girona	2176453	Esther		Maçanet de Cabrenys	42.38423	2.74583	Entire home/apt	246	3	6	2020-07-14	0.11	1	358
438245	Apartment 4 pax, 150 m from Sea	2176194	Roger		L'Escala	42.12189	3.13551	Entire home/apt	53	4	57	2020-08-23	0.57	1	358
443464	House for group St Jaume de Llierca	1835625	Georgina		Sant Jaume de Llierca	42.21376	2.60929	Entire home/apt	140	2	30	2020-10-12	0.79	2	362
457966	Estudio a 100m del mar	2276585	Nuria		Palamós	41.85023	3.1294	Entire home/apt	44	7	72	2019-09-03	0.71	1	358
459611	Sea view apartment with big terrace	2281859	Gary		Sant Feliu de Guíxols	41.79393	3.02312	Entire home/apt	79	2	56	2020-08-17	0.56	1	350
463689	Apartament with character (XIV)	2303623	Montse		Torroella de Montgrí	42.03985	3.1243	Entire home/apt	73	4	89	2020-08-11	0.89	2	31
465315	Nice apartment next to the beach	2311613	Anna		Lloret de Mar	41.69377	2.82544	Entire home/apt	51	3	150	2020-09-10	1.50	2	58
473567	APARTAMENT PETIT. AMBIENT TRANQUIL.	2347920	Mireia		Tossa de Mar	41.72861	2.92876	Entire home/apt	70	4	10	2019-08-27	0.26	1	95
474284	Cap Bonifaci Barca, beach @ 20 m	1990392	Enric		Roses	42.2443	3.19868	Entire home/apt	200	7	5	2019-08-10	0.06	2	173
479972	BEAUTIFUL HOUSE in TOSSA DE MAR	1298586	Kristjan Y Ana		Tossa de Mar	41.71809	2.92824	Entire home/apt	250	2	12	2019-08-18	0.12	115	8
484066	APARTMENT SEA VIEWS in COSTA BRAVA	1298586	Kristjan Y Ana		Tossa de Mar	41.71765	2.92868	Entire home/apt	122	2	46	2020-08-24	0.53	115	71
503130	Flat to rent  Playa de Aro 2-4 pax	2481958	Severine		Castell-Platja d'Aro	41.8266	3.07281	Entire home/apt	80	7	2	2017-06-25	0.05	3	33
506095	SPAIN  APARTMENT FRONTLINE  CALONGE	2494825	Maria LL		Calonge	41.8428	3.09653	Entire home/apt	50	35	1	2012-06-29	0.01	2	362
509124	Top-floor Apartment / Attic & pool	2509252	Montaber		Alp	42.37319	1.88685	Entire home/apt	101	2	34	2020-08-17	0.43	2	356
